gene_index,cluster_id
0,15
1,43
2,52
3,41
4,20
5,23
6,9
7,41
8,38
9,18
10,23
11,26
12,3
13,29
14,27
15,38
16,56
17,15
18,23
19,60
20,31
21,58
22,51
23,54
24,9
25,53
26,23
27,20
28,30
29,30
30,56
31,22
32,6
33,56
34,10
35,34
36,41
37,23
38,20
39,30
40,49
41,0
42,23
43,62
44,6
45,23
46,29
47,29
48,30
49,4
50,57
51,4
52,20
53,48
54,49
55,20
56,8
57,23
58,10
59,25
60,31
61,28
62,20
63,7
64,23
65,43
66,56
67,3
68,45
69,33
70,23
71,16
72,23
73,23
74,57
75,15
76,37
77,11
78,8
79,62
80,48
81,20
82,49
83,31
84,28
85,28
86,23
87,14
88,18
89,14
90,31
91,31
92,23
93,18
94,32
95,27
96,23
97,27
98,26
99,63
100,37
101,56
102,20
103,28
104,0
105,58
106,23
107,16
108,10
109,31
110,9
111,41
112,44
113,58
114,9
115,29
116,62
117,10
118,27
119,18
120,23
121,16
122,20
123,18
124,18
125,23
126,2
127,14
128,47
129,5
130,31
131,18
132,24
133,61
134,6
135,50
136,56
137,5
138,23
139,29
140,61
141,47
142,18
143,1
144,55
145,47
146,19
147,31
148,27
149,3
150,2
151,51
152,34
153,23
154,7
155,10
156,47
157,50
158,23
159,2
160,26
161,7
162,23
163,31
164,23
165,23
166,23
167,23
168,18
169,11
170,23
171,13
172,23
173,2
174,0
175,55
176,23
177,37
178,23
179,34
180,10
181,16
182,38
183,38
184,38
185,52
186,22
187,62
188,46
189,6
190,58
191,52
192,52
193,36
194,6
195,30
196,23
197,26
198,37
199,23
200,23
201,8
202,30
203,30
204,4
205,5
206,23
207,37
208,55
209,23
210,18
211,41
212,46
213,17
214,52
215,17
216,39
217,18
218,11
219,31
220,23
221,23
222,23
223,39
224,46
225,23
226,56
227,26
228,58
229,5
230,23
231,23
232,27
233,23
234,49
235,16
236,27
237,23
238,26
239,30
240,6
241,27
242,6
243,27
244,19
245,5
246,23
247,50
248,50
249,7
250,5
251,38
252,6
253,27
254,23
255,23
256,18
257,6
258,19
259,6
260,55
261,19
262,15
263,19
264,38
265,10
266,27
267,37
268,10
269,41
270,31
271,25
272,10
273,19
274,19
275,63
276,36
277,25
278,19
279,38
280,19
281,27
282,10
283,19
284,5
285,28
286,23
287,31
288,23
289,27
290,25
291,6
292,19
293,42
294,3
295,19
296,50
297,12
298,50
299,15
300,9
301,59
302,23
303,59
304,3
305,7
306,23
307,50
308,23
309,53
310,0
311,18
312,50
313,5
314,30
315,30
316,62
317,57
318,43
319,27
320,21
321,21
322,21
323,21
324,5
325,50
326,30
327,31
328,36
329,30
330,27
331,28
332,23
333,2
334,23
335,0
336,52
337,35
338,7
339,20
340,20
341,5
342,23
343,9
344,23
345,62
346,56
347,30
348,54
349,2
350,23
351,0
352,49
353,50
354,32
355,32
356,5
357,36
358,28
359,16
360,23
361,30
362,36
363,3
364,16
365,6
366,41
367,9
368,9
369,27
370,5
371,6
372,6
373,9
374,19
375,13
376,21
377,48
378,35
379,14
380,37
381,42
382,15
383,41
384,34
385,40
386,34
387,34
388,0
389,23
390,34
391,60
392,26
393,23
394,34
395,34
396,34
397,34
398,34
399,34
400,15
401,26
402,26
403,37
404,26
405,20
406,6
407,0
408,20
409,21
410,21
411,55
412,43
413,21
414,9
415,23
416,5
417,27
418,2
419,26
420,23
421,5
422,20
423,47
424,17
425,23
426,23
427,34
428,15
429,23
430,30
431,7
432,35
433,23
434,7
435,38
436,16
437,27
438,2
439,23
440,56
441,54
442,23
443,23
444,5
445,16
446,27
447,27
448,60
449,23
450,21
451,21
452,21
453,21
454,63
455,46
456,42
457,30
458,28
459,26
460,63
461,39
462,10
463,0
464,21
465,49
466,49
467,23
468,23
469,43
470,49
471,8
472,4
473,22
474,2
475,14
476,33
477,23
478,3
479,19
480,28
481,38
482,15
483,34
484,23
485,23
486,51
487,46
488,23
489,9
490,27
491,43
492,20
493,23
494,23
495,56
496,10
497,6
498,62
499,42
500,23
501,41
502,15
503,37
504,37
505,33
506,5
507,15
508,23
509,61
510,36
511,23
512,53
513,42
514,16
515,5
516,23
517,26
518,58
519,53
520,58
521,41
522,5
523,23
524,23
525,0
526,23
527,20
528,27
529,6
530,9
531,45
532,27
533,9
534,6
535,20
536,2
537,11
538,31
539,20
540,5
